CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,153",I.E. SUSE,"215,047,000,668",SEDE LA LAJA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.479181,-72.953978
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,170",I.E. TOQUILLA,"215,047,000,463",SEDE LOS COLORADOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.508611,-72.783056
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,153",I.E. SUSE,"215,047,000,412",SEDE SAN JOSE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.383333,-72.919444
15,BOYACÁ,RICAURTE,"15,051",ARCABUCO,"115,051,000,155",I.E. TECNICO ALEJANDRO DE HUMBOLDT,"215,051,000,079",ESC PEÑAS BLANCAS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.785068719,-73.46116816
15,BOYACÁ,RICAURTE,"15,051",ARCABUCO,"115,051,000,155",I.E. TECNICO ALEJANDRO DE HUMBOLDT,"215,051,000,052",ESC QUIRVAQUIRA I,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.684024907,-73.36293687
15,BOYACÁ,RICAURTE,"15,051",ARCABUCO,"115,051,000,155",I.E. TECNICO ALEJANDRO DE HUMBOLDT,"215,051,000,176",ESC QUIRVAQUIRA II,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.711550512,-73.375272
15,BOYACÁ,TUNDAMA,"15,087",BELÉN,"115,087,000,011",I.E. TECNICA SUSANA GUILLEMIN,"215,087,000,253",ESC ALTO DE CANUTOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.03884512,-72.92356678
15,BOYACÁ,TUNDAMA,"15,087",BELÉN,"115,087,000,011",I.E. TECNICA SUSANA GUILLEMIN,"215,087,000,130",ESC CARACOLES,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.034377,-72.918289
15,BOYACÁ,TUNDAMA,"15,087",BELÉN,"115,087,000,208",I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,"215,087,000,164",ESC SAN JOSE DE LA MONTAÑA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.0342222222222,-73.02388889
15,BOYACÁ,LENGUPÁ,"15,090",BERBEO,"315,090,000,064",I.E. CAMPO ELIAS CORTES,"215,090,000,027",ESC BATATAL BAJO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.17902567,-73.08446044
15,BOYACÁ,VALDERRAMA,"15,092",BETÉITIVA,"215,092,000,041",I.E. TECNICA NUESTRA SEÑORA DE LA O,"215,092,000,083",ESC RURAL SOIQUÍA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.907745,-72.8639
15,BOYACÁ,VALDERRAMA,"15,092",BETÉITIVA,"215,092,000,041",I.E. TECNICA NUESTRA SEÑORA DE LA O,"215,092,000,041",I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.910076503,-72.86543782
15,BOYACÁ,NORTE,"15,097",BOAVITA,"115,097,000,265",I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,"215,097,000,227",ESC RIO DE ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.353359714,-72.59594713
15,BOYACÁ,NORTE,"15,097",BOAVITA,"115,097,000,028",I.E. TECNICO AGRICOLA,"215,097,000,219",ESC RURAL CHULAVITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.412089417,-72.61656296
15,BOYACÁ,NORTE,"15,097",BOAVITA,"115,097,000,036",I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,"215,097,000,235",ESC RURAL EL MELONAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.312631564,-72.60748278
15,BOYACÁ,NORTE,"15,097",BOAVITA,"115,097,000,028",I.E. TECNICO AGRICOLA,"215,097,000,286",ESC SAN FRANCISCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.398617062,-72.63102039
15,BOYACÁ,MÁRQUEZ,"15,104",BOYACÁ,"215,104,000,092",I.E. TECNICA AGROPECUARIA SAN ISIDRO,"215,104,000,084",ESC HUERTAS N· 2,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.429376466,-73.41392399
15,BOYACÁ,MÁRQUEZ,"15,104",BOYACÁ,"115,104,000,128",I.E. DE BOYACA,"215,104,000,076",ESC PACHAQUIRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.434503002,-73.36231744
15,BOYACÁ,MÁRQUEZ,"15,104",BOYACÁ,"115,104,000,128",I.E. DE BOYACA,"215,104,000,068",ESC RIQUE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.447218842,-73.3884582
15,BOYACÁ,MÁRQUEZ,"15,104",BOYACÁ,"115,104,000,128",I.E. DE BOYACA,"215,104,000,106",ESC RUPAGUATA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.437739069,-73.34608
15,BOYACÁ,OCCIDENTE,"15,106",BRICEÑO,"315,106,000,124",I.E. TECNICA MANUEL BRICEÑO,"215,106,000,146",COL BAS MEDIA LUNA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.714868143,-73.90014783
15,BOYACÁ,OCCIDENTE,"15,106",BRICEÑO,"315,106,000,124",I.E. TECNICA MANUEL BRICEÑO,"215,106,000,081",ESC PALO BLANCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.667707226,-73.91139673
15,BOYACÁ,OCCIDENTE,"15,106",BRICEÑO,"315,106,000,124",I.E. TECNICA MANUEL BRICEÑO,"215,106,000,162",ESC RURAL TARPEYA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.703875034,-73.92652415
15,BOYACÁ,OCCIDENTE,"15,109",BUENAVISTA,"215,109,000,163",I.E. TECNICA AGROPECUARIA LA GRANJA,"215,109,000,163",I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.476667,-73.943611
15,BOYACÁ,OCCIDENTE,"15,109",BUENAVISTA,"115,109,000,363",I.E. JOSE MARIA SILVA SALAZAR,"215,109,000,317",ESC HONDA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.5119459,-73.95504923
15,BOYACÁ,OCCIDENTE,"15,109",BUENAVISTA,"115,109,000,363",I.E. JOSE MARIA SILVA SALAZAR,"215,109,000,341",ESC NARANJITOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
15,BOYACÁ,OCCIDENTE,"15,109",BUENAVISTA,"115,109,000,363",I.E. JOSE MARIA SILVA SALAZAR,"215,109,000,066",ESC PATIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
15,BOYACÁ,OCCIDENTE,"15,131",CALDAS,"415,131,000,141",I.E. TECNICA AGRICOLA ANTONIO NARIÑO,"215,131,000,037",ESC ANTONIO NARIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.595833,-73.861667
15,BOYACÁ,OCCIDENTE,"15,131",CALDAS,"115,131,000,172",I.E. FRANCISCO JOSE DE CALDAS,"215,131,000,053",ESC CHINGAGUTA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.541393,-73.896675
15,BOYACÁ,OCCIDENTE,"15,131",CALDAS,"415,131,000,141",I.E. TECNICA AGRICOLA ANTONIO NARIÑO,"215,131,000,100",ESC EL PALMAR,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.590192662,-73.88909001
15,BOYACÁ,OCCIDENTE,"15,131",CALDAS,"415,131,000,141",I.E. TECNICA AGRICOLA ANTONIO NARIÑO,"215,131,000,096",ESC QUIPE CERRO ALTO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.581944,-73.8625
15,BOYACÁ,OCCIDENTE,"15,131",CALDAS,"115,131,000,172",I.E. FRANCISCO JOSE DE CALDAS,"215,131,000,088",ESC TIERRA NEGRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.558336438,-73.90304674
