CÓDIGO DEPARTAMENTO;DEPARTAMENTO;PROVINCIA;CÓDIGO MUNICIPIO;MUNICIPIO;CODIGO DANE INSTITUCION EDUCATIVA;NOMBRE INSTITUCION EDUCATIVA;CODIGO DANE SEDE;NOMBRE SEDE EDUCATIVA;ZONA;PROYECTOS DE CONECTIVIDAD 2024;OPERADOR;ESTADO;MEDIO DE ENLACE;ANCHO DE BANDA DE SUBIDA (MB);ANCHO DE BANDA DESCARGA (MB);FINALIZACIÓN DEL CONTRATO;LATITUD;LONGITUD;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,153;I,E, SUSE;215,047,000,668;SEDE LA LAJA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5479181;-72953978;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,170;I,E, TOQUILLA;215,047,000,463;SEDE LOS COLORADOS;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5508611;-72783056;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,153;I,E, SUSE;215,047,000,412;SEDE SAN JOSE;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5383333;-72919444;;
15;BOYACÁ;RICAURTE;15,051;ARCABUCO;115,051,000,155;I,E, TECNICO ALEJANDRO DE HUMBOLDT;215,051,000,079;ESC PEÑAS BLANCAS;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5785068719;-7346116816;;
15;BOYACÁ;RICAURTE;15,051;ARCABUCO;115,051,000,155;I,E, TECNICO ALEJANDRO DE HUMBOLDT;215,051,000,052;ESC QUIRVAQUIRA I;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5684024907;-7336293687;;
15;BOYACÁ;RICAURTE;15,051;ARCABUCO;115,051,000,155;I,E, TECNICO ALEJANDRO DE HUMBOLDT;215,051,000,176;ESC QUIRVAQUIRA II;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5711550512;-73375272;;
15;BOYACÁ;TUNDAMA;15,087;BELÉN;115,087,000,011;I,E, TECNICA SUSANA GUILLEMIN;215,087,000,253;ESC ALTO DE CANUTOS;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;603884512;-7292356678;;
15;BOYACÁ;TUNDAMA;15,087;BELÉN;115,087,000,011;I,E, TECNICA SUSANA GUILLEMIN;215,087,000,130;ESC CARACOLES;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;6034377;-72918289;;
15;BOYACÁ;TUNDAMA;15,087;BELÉN;115,087,000,208;I,E, TECNICA CARLOS ALBERTO OLANO VALDERRAMA;215,087,000,164;ESC SAN JOSE DE LA MONTAÑA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;6,03422E+13;-7302388889;;
15;BOYACÁ;LENGUPÁ;15,09;BERBEO;315,090,000,064;I,E, CAMPO ELIAS CORTES;215,090,000,027;ESC BATATAL BAJO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;517902567;-7308446044;;
15;BOYACÁ;VALDERRAMA;15,092;BETÉITIVA;215,092,000,041;I,E, TECNICA NUESTRA SEÑORA DE LA O;215,092,000,083;ESC RURAL SOIQUÍA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5907745;-728639;;
15;BOYACÁ;VALDERRAMA;15,092;BETÉITIVA;215,092,000,041;I,E, TECNICA NUESTRA SEÑORA DE LA O;215,092,000,041;I,E, TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5910076503;-7286543782;;
15;BOYACÁ;NORTE;15,097;BOAVITA;115,097,000,265;I,E, TECNICO INDUSTRIAL MARISCAL SUCRE;215,097,000,227;ESC RIO DE ARRIBA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;6353359714;-7259594713;;
15;BOYACÁ;NORTE;15,097;BOAVITA;115,097,000,028;I,E, TECNICO AGRICOLA;215,097,000,219;ESC RURAL CHULAVITA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;6412089417;-7261656296;;
15;BOYACÁ;NORTE;15,097;BOAVITA;115,097,000,036;I,E, TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO;215,097,000,235;ESC RURAL EL MELONAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;6312631564;-7260748278;;
15;BOYACÁ;NORTE;15,097;BOAVITA;115,097,000,028;I,E, TECNICO AGRICOLA;215,097,000,286;ESC SAN FRANCISCO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;6398617062;-7263102039;;
15;BOYACÁ;MÁRQUEZ;15,104;BOYACÁ;215,104,000,092;I,E, TECNICA AGROPECUARIA SAN ISIDRO;215,104,000,084;ESC HUERTAS N· 2;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5429376466;-7341392399;;
15;BOYACÁ;MÁRQUEZ;15,104;BOYACÁ;115,104,000,128;I,E, DE BOYACA;215,104,000,076;ESC PACHAQUIRA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5434503002;-7336231744;;
15;BOYACÁ;MÁRQUEZ;15,104;BOYACÁ;115,104,000,128;I,E, DE BOYACA;215,104,000,068;ESC RIQUE;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5447218842;-733884582;;
15;BOYACÁ;MÁRQUEZ;15,104;BOYACÁ;115,104,000,128;I,E, DE BOYACA;215,104,000,106;ESC RUPAGUATA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5437739069;-7334608;;
15;BOYACÁ;OCCIDENTE;15,106;BRICEÑO;315,106,000,124;I,E, TECNICA MANUEL BRICEÑO;215,106,000,146;COL BAS MEDIA LUNA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5714868143;-7390014783;;
15;BOYACÁ;OCCIDENTE;15,106;BRICEÑO;315,106,000,124;I,E, TECNICA MANUEL BRICEÑO;215,106,000,081;ESC PALO BLANCO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5667707226;-7391139673;;
15;BOYACÁ;OCCIDENTE;15,106;BRICEÑO;315,106,000,124;I,E, TECNICA MANUEL BRICEÑO;215,106,000,162;ESC RURAL TARPEYA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5703875034;-7392652415;;
15;BOYACÁ;OCCIDENTE;15,109;BUENAVISTA;215,109,000,163;I,E, TECNICA AGROPECUARIA LA GRANJA;215,109,000,163;I,E, TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5476667;-73943611;;
15;BOYACÁ;OCCIDENTE;15,109;BUENAVISTA;115,109,000,363;I,E, JOSE MARIA SILVA SALAZAR;215,109,000,317;ESC HONDA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;55119459;-7395504923;;
15;BOYACÁ;OCCIDENTE;15,109;BUENAVISTA;115,109,000,363;I,E, JOSE MARIA SILVA SALAZAR;215,109,000,341;ESC NARANJITOS;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;549169854;-7393634034;;
15;BOYACÁ;OCCIDENTE;15,109;BUENAVISTA;115,109,000,363;I,E, JOSE MARIA SILVA SALAZAR;215,109,000,066;ESC PATIÑO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;549169854;-7393634034;;
15;BOYACÁ;OCCIDENTE;15,131;CALDAS;415,131,000,141;I,E, TECNICA AGRICOLA ANTONIO NARIÑO;215,131,000,037;ESC ANTONIO NARIÑO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5595833;-73861667;;
15;BOYACÁ;OCCIDENTE;15,131;CALDAS;115,131,000,172;I,E, FRANCISCO JOSE DE CALDAS;215,131,000,053;ESC CHINGAGUTA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5541393;-73896675;;
15;BOYACÁ;OCCIDENTE;15,131;CALDAS;415,131,000,141;I,E, TECNICA AGRICOLA ANTONIO NARIÑO;215,131,000,100;ESC EL PALMAR;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5590192662;-7388909001;;
15;BOYACÁ;OCCIDENTE;15,131;CALDAS;415,131,000,141;I,E, TECNICA AGRICOLA ANTONIO NARIÑO;215,131,000,096;ESC QUIPE CERRO ALTO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5581944;-738625;;
15;BOYACÁ;OCCIDENTE;15,131;CALDAS;115,131,000,172;I,E, FRANCISCO JOSE DE CALDAS;215,131,000,088;ESC TIERRA NEGRA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5558336438;-7390304674;;
15;BOYACÁ;LENGUPÁ;15,135;CAMPOHERMOSO;215,135,000,236;I,E, TECNICA MARIA AUXILIADORA;415,135,000,324;ESC CENTRO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5017563;-73205673;;
