NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE INSTITUCION EDUCATIVA
I.E. SAN IGNACIO DE LOYOLA,"115,507,000,012"
I.E. TECNICA SAMUEL IGNACIO SANTAMARIA,"215,507,000,041"
I.E. SAN JOSE DE NAZARETH,"215,507,000,530"
I.E. TECNICA HONORIO ANGEL Y OLARTE,"315,511,000,018"
I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ,"115,514,000,249"
I.E. TECNICA AGRICOLA,"215,516,000,542"
I.E. EL ROSARIO,"315,516,000,016"
I.E. TOMAS VASQUEZ RODRIGUEZ,"115,516,000,424"
I.E. ARMANDO SOLANO,"115,516,000,025"
I.E. TECNICA PANTANO DE VARGAS,"215,516,000,305"
I.E. TECNICA AGROPECUARIA DE PALERMO,"415,516,000,410"
I.E. RAFAEL BAYONA NIÑO,"215,516,000,127"
I.E. AGROPECUARIA,"115,518,000,219"
I.E. TECNICA DE PANQUEBA,"115,522,000,126"
I.E. TECNICA AGROPECUARIA DE DESARROLLO RURAL,"215,531,000,435"
I.E. SANTA ROSA,"215,531,000,478"
I.E. TECNICA INDUSTRIAL Y MINERA,"115,537,000,025"
I.E. BUTAGA,"215,542,000,224"
I.E. INDALECIO VASQUEZ,"115,542,000,025"
I.E. EL HATO,"215,542,000,194"
I.E. RAMON BARRANTES,"115,550,000,191"
I.E. EL PRADO,"215,572,000,334"
I.E. TECNICA AGROPECUARIA EL MARFIL,"215,572,000,938"
I.E. GUANEGRO,"215,572,000,385"
I.E. TECNICA JOSE JOAQUIN ORTIZ,"215,572,000,181"
I.E. PUERTO PINZON,"215,572,000,393"
I.E. TECNICA PUERTO SERVIEZ,"215,572,000,121"
I.E. TECNICA NUESTRA SEÑORA DE LA PAZ,"215,580,000,041"
I.E. DIVINO NIÑO CORMAL,"215,580,000,521"
I.E. LA FLORESTA,"215,580,000,017"
I.E. TECNICA JOSE IGNACIO DE MARQUEZ,"115,599,000,013"
I.E. AGROPECUARIA EL ESCOBAL,"215,599,000,140"
I.E. NUESTRA SEÑORA DE LA CANDELARIA,"215,600,000,311"
I.E. SAN ANTONIO,"115,600,000,014"
I.E. RANCHO GRANDE,"215,621,000,035"
I.E. TECNICA AGROPECUARIA SAN RAFAEL,"315,621,000,218"
I.E. JUAN PABLO II,"215,632,000,657"
I.E. JOSE MARIA CORDOBA,"215,632,000,681"
I.E. NORMAL SUPERIOR,"215,632,000,592"
I.E. GARAVITO,"415,632,000,516"
I.E. SAN ISIDRO,"215,632,000,665"
I.E. NUEVA GENERACION,"315,638,000,050"
I.E. TECNICA NACIONALIZADA DE SAMACA,"115,646,000,019"
I.E. TECNICA SALAMANCA,"215,646,000,170"
I.E. TECNICA LA LIBERTAD,"215,646,000,137"
I.E. HORIZONTES,"115,664,000,123"
I.E. TECNICA LA AMISTAD,"215,664,000,055"
I.E. TELEPALMERITAS,"215,667,000,153"
I.E. PAZ Y LIBERTAD,"215,673,000,220"
I.E. EL CHAPETON,"215,673,000,025"
