NOMBRE SEDE EDUCATIVA,CODIGO DANE SEDE,ZONA,NOMBRE INSTITUCION EDUCATIVA,CODIGO INTERNET
TINCACHOQUE,"215,322,000,151",RURAL,I.E. TECNICA ENRIQUE OLAYA HERRERA,1255
ESC CHITAVITA,"215,325,000,283",RURAL,I.E. TECNICA LAS MERCEDES,1463
ESC FONZAQUE ARRIBA,"215,325,000,097",RURAL,I.E. TECNICA LAS MERCEDES,738
ESC RINCON ARRIBA,"215,325,000,071",RURAL,I.E. TECNICA LAS MERCEDES,1400
ESC BELLAVISTA,"215,332,000,159",RURAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,1566
ESC EL CARDÓN,"215,332,000,281",RURAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,960
ESC JULIO JOSUE CRISTANCHO,"215,332,000,167",RURAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,946
ESC SAN JUAN NEPOMUCENO,"215,332,000,183",RURAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,1849
ESC SAN ROQUE,"215,332,000,116",RURAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,1144
AGUA CALIENTE,"215,362,000,064",RURAL,I.E. TECNICA SERGIO CAMARGO,340
ESC BAGANIQUE ALTO,"215,367,000,135",RURAL,I.E. TECNICO COMERCIAL,551
ESC BAGANIQUE CENTRO,"215,367,000,127",RURAL,I.E. TECNICO COMERCIAL,292
ESC DULCEYES,"215,367,000,046",RURAL,I.E. TECNICO COMERCIAL,1960
ESC FORAQUIRA,"215,367,000,054",RURAL,I.E. TECNICO COMERCIAL,228
ESC NONCETA,"215,367,000,259",RURAL,I.E. TECNICO COMERCIAL,936
ESC PAECES ALTO,"215,367,000,232",RURAL,I.E. TECNICO COMERCIAL,74
ESC PAECES BAJO,"215,367,000,071",RURAL,I.E. TECNICO COMERCIAL,1892
ESC PIRANGUATA,"215,367,000,089",RURAL,I.E. TECNICO COMERCIAL,291
CENT EDUC SAN JOSE DE CHEVA,"215,368,000,023",RURAL,I.E. TECNICA LOPEZ QUEVEDO,565
ELA PUEBLO VIEJO,"215,368,000,031",RURAL,I.E. TECNICA LOPEZ QUEVEDO,1059
ESC APOSENTOS,"215,368,000,236",RURAL,I.E. TECNICA LOPEZ QUEVEDO,1107
ESC EL ASERRADERO,"215,368,000,112",RURAL,I.E. TECNICA LOPEZ QUEVEDO,1752
ESC EL COCUBAL,"215,368,000,147",RURAL,I.E. TECNICA LOPEZ QUEVEDO,430
ESC EL REPOSO,"215,368,000,104",RURAL,I.E. TECNICA LOPEZ QUEVEDO,118
ESC LA OVEJERA,"215,368,000,074",RURAL,I.E. TECNICA LOPEZ QUEVEDO,1353
ESC PANTANO HONDO,"215,368,000,066",RURAL,I.E. TECNICA LOPEZ QUEVEDO,897
ESC SANTA HELENA,"215,368,000,228",RURAL,I.E. TECNICA LOPEZ QUEVEDO,72
LA PLAYA,"215,368,000,058",RURAL,I.E. TECNICA LOPEZ QUEVEDO,443
ESC LA PALMA,"215,380,000,071",RURAL,I.E. LA CANDELARIA,192
ESC PEÑAS,"215,380,000,128",RURAL,I.E. LA CANDELARIA,1802
ESC CUSAGUI,"215,403,000,040",RURAL,I.E. TECNICA AGROINDUSTRIAL CUSAGUI,1888
I.E. TECNICA AGROINDUSTRIAL CUSAGUI - SEDE PRINCIPAL,"415,403,000,197",RURAL,I.E. TECNICA AGROINDUSTRIAL CUSAGUI,339
ESC CHAPON,"215,401,000,212",RURAL,I.E. ALFONSO LOPEZ PUMAREJO,774
ESC EL RAMAL,"215,401,000,298",RURAL,I.E. ALFONSO LOPEZ PUMAREJO,1372
ESC RUR ASERRADERO,"215,377,000,265",RURAL,I.E. TECNICA VALENTIN GARCIA,504
ESC RUR CUAZA,"215,377,000,061",RURAL,I.E. TECNICA VALENTIN GARCIA,1997
ESC RUR EL TRONADOR,"215,377,000,125",RURAL,I.E. TECNICA VALENTIN GARCIA,485
ESC RUR LA MONTAÑA,"215,377,000,141",RURAL,I.E. TECNICA VALENTIN GARCIA,1116
EL DATIL,"215,425,000,035",RURAL,I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL,1634
LA VEGA,"215,425,000,175",RURAL,I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL,309
SAN PEDRO,"215,425,000,256",RURAL,I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL,1451
ESC GUARUMAL,"215,442,000,111",RURAL,I.E. TECNICA ZULIA DE MARIPI,842
ESC GUAYABAL,"215,442,000,197",RURAL,I.E. JORGE ELIECER GAITAN,765
ESC NARAPAY,"215,442,000,138",RURAL,I.E. JORGE ELIECER GAITAN,94
ESC SALTO,"215,442,000,103",RURAL,I.E. JORGE ELIECER GAITAN,1342
I.E. LA CABAÑA - SEDE PRINCIPAL,"215,442,000,057",RURAL,I.E. LA CABAÑA,1520
I.E. TECNICA ZULIA DE MARIPI - SEDE PRINCIPAL,"215,442,000,065",RURAL,I.E. TECNICA ZULIA DE MARIPI,1167
ESC SUNA ABAJO,"215,455,000,064",RURAL,I.E. TECNICA MIRAFLORES,1056
I.E. TECNICA MIRAFLORES - SEDE PRINCIPAL,"215,455,000,099",RURAL,I.E. TECNICA MIRAFLORES,227
ESC EL TRANSITO,"215,464,000,174",RURAL,I.E. TUNJUELO,63
ESC MARIA AUXILIADORA,"215,464,000,271",RURAL,I.E. TECNICA LISANDRO CELY,1539
ESC OICITA,"215,464,000,115",RURAL,I.E. TUNJUELO,1164
ESC RURAL SAN ANTONIO,"215,466,000,147",RURAL,I.E. TECNICA DE MONGUI,371
ESC VALLADO,"215,466,000,139",RURAL,I.E. TECNICA JOSE ACEVEDO Y GOMEZ,43
COL DE EDUCACION BAS PEREIRA,"215,469,000,270",RURAL,I.E. TECNICA JORDAN,665
ESC MACIEGAL,"215,469,000,121",RURAL,I.E. SERAFIN LUENGAS CHACON,241
ESC MONJAS,"215,469,000,261",RURAL,I.E. MARCO FIDEL SUAREZ,474
ESC MONJAS MEDIO,"215,469,000,474",RURAL,I.E. MARCO FIDEL SUAREZ,1329
ESC POTRERO GRANDE,"215,469,000,482",RURAL,I.E. SERAFIN LUENGAS CHACON,419
ESC PUEBLO VIEJO,"215,469,000,296",RURAL,I.E. SERAFIN LUENGAS CHACON,412
ESC TIERRA DE CASTRO,"215,469,000,300",RURAL,I.E. HERNANDO GELVEZ SUAREZ,1898
I.E. MARCO FIDEL SUAREZ - SEDE PRINCIPAL,"215,469,000,083",RURAL,I.E. MARCO FIDEL SUAREZ,1335
I.E. SERAFIN LUENGAS CHACON - SEDE PRINCIPAL,"215,469,000,113",RURAL,I.E. SERAFIN LUENGAS CHACON,1895
SEDE AGROPECUARIA JORGE EDUARDO LONDOÑO ULLOA,"215,469,800,021",RURAL,I.E. TECNICA ANTONIO NARIÑO,1435
CENT EDUC RISTA,"215,476,000,072",RURAL,I.E. TECNICA SANTA CRUZ DE MOTAVITA,1736
CENT EDUC VERSALLES,"215,476,000,064",RURAL,I.E. TECNICA AMBIENTAL SOTE PANELAS,461
ESC CARBONERA,"215,476,000,030",RURAL,I.E. TECNICA SANTA CRUZ DE MOTAVITA,1632
ESC BETANIA,"215,480,000,125",RURAL,I.E. NUESTRA SEÑORA DE LA NAVAL,1963
ESC CUINCHA,"215,480,000,087",RURAL,I.E. NUESTRA SEÑORA DE LA NAVAL,370
ESC EGIDOS,"215,480,000,109",RURAL,I.E. SAN MARCOS,307
ESC GUAZO,"215,480,000,117",RURAL,I.E. NUESTRA SEÑORA DE LA NAVAL,1432
ESC NIAUNZA,"215,480,000,427",RURAL,I.E. SAN MARCOS,571
ESC PEDREGAL,"215,480,000,303",RURAL,I.E. NUESTRA SEÑORA DE LA NAVAL,710
ESC SABRIPA,"215,480,000,222",RURAL,I.E. CONCHA MEDINA DE SILVA,481
ECUELA EL PUENTE,"215,491,000,097",RURAL,I.E. TECNICA DE NOBSA,766
ESC CHAMEZA,"215,491,000,101",RURAL,I.E. TECNICA DE NAZARETH,1631
ESC DICHO,"215,491,000,119",RURAL,I.E. TECNICA DE NOBSA,1524
ESC SANTANA,"215,491,000,071",RURAL,I.E. TECNICA DE NOBSA,1361
ESC UCUENGA,"215,491,000,089",RURAL,I.E. TECNICA DE NOBSA,1744
ESC EL UVO,"215,494,000,179",RURAL,I.E. LLANO GRANDE,64
ESC GABRIELA MISTRAL,"215,494,000,055",RURAL,I.E. NUESTRA SEÑORA DE LA ANTIGUA,1651
ESC PAVAQUIRA,"215,494,000,080",RURAL,I.E. NUESTRA SEÑORA DE LA ANTIGUA,1526
ESC SORCA ARRIBA,"215,494,000,071",RURAL,I.E. NUESTRA SEÑORA DE LA ANTIGUA,1174
I.E. LLANO GRANDE - SEDE PRINCIPAL,"215,494,000,063",RURAL,I.E. LLANO GRANDE,829
CE CAIBOCA,"215,500,000,038",RURAL,I.E. NICOLAS CUERVO Y ROJAS,125
CENT EDUC EL LLANO,"215,500,000,119",RURAL,I.E. NICOLAS CUERVO Y ROJAS,1584
